variable,a,b,min,opt,max
CO$_2$ seq. potential,275,\ $\rightarrow$ 1100 Mt/a,-20.6,-21.1,-21.3
Carbon capture cost,$+50\%$,\ $\rightarrow$ $-50\%$,0.7,0.2,8.3
CO$_2$ seq. cost,30,\ $\rightarrow$ 15 EUR/t,-0.1,-0.2,-0.6
