variable,a,b,min,opt,max
CO$_2$ seq. cost,30,\ $\rightarrow$ 15 EUR/t,-0.1,-0.4,0.0
Carbon capture cost,$+50\%$,\ $\rightarrow$ $-50\%$,0.3,0.1,0.0
CO$_2$ seq. potential,275,\ $\rightarrow$ 1100 Mt/a,-19.6,-19.9,0.0
