variable,a,b,min,opt,max
CO$_2$ seq. potential,275,\ $\rightarrow$ 1100 Mt/a,0.0,-0.0,-1.1
Carbon capture cost,$+50\%$,\ $\rightarrow$ $-50\%$,0.0,0.0,0.8
CO$_2$ seq. cost,30,\ $\rightarrow$ 15 EUR/t,0.0,-0.0,-0.0
