variable,a,b,min,opt,max
CO$_2$ seq. potential,275,\ $\rightarrow$ 1100 Mt/a,-19.6,-21.9,-24.8
Carbon capture cost,$+50\%$,\ $\rightarrow$ $-50\%$,-0.2,0.1,7.6
CO$_2$ seq. cost,30,\ $\rightarrow$ 15 EUR/t,-0.3,-0.0,-0.1
