scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987baab,1987,b,a,a,b,100,50,min,0.05,2025,-0.0,1.0870104568411507e-17,971367877531.5046,,58.354703491864356,-0.0,0.0,2.8084271603800672e-08,7.157260034083661,0.0,,353878.5308264277,44064.89868886434,480324.4200105083,99790.09999999222,1.8060164657177974e-08,98096328.00003,32842594.95095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2025,10.794905813901838,4.903073848878339e-08,1007794178805.2782,-14.96940514462496,0.5285955775861029,186421121.7291897,-2.6958045552046315,0.023996696930958437,55.880549699128714,69933.00519899867,0.9998478829332345,402559.1936783659,46053.84389159872,656729.2594274732,99790.1000105253,0.016664200559422943,98096328.39111,32842595.04123,0.0,0.0,237185287.19958,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2030,-0.0,5.782245460873139e-11,930110746242.4578,,86.84419128103427,-0.0,25000000.000090607,0.17552687813866497,32.1572603412043,0.0,,511325.3498201757,92291.71950214222,1031908.2832295813,78601.1000615021,6050.073840353402,98096328.38467,32842594.9343,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2030,13.835515881970508,9.642492443301316e-08,969543044306.7205,-20.236593273495313,1.064527170670056,452244493.3100605,24999999.998646554,0.016677048290097352,98.21452120072186,98915.03248773949,0.889850878402397,498401.5795789694,102833.35891136792,1390967.172405239,78601.10000623821,9132.669994822301,98096328.04956,32842594.95183,60000.0,6757898.75581,321567172.63811,0.0,0.0,1813749.97089,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2035,1.6067024437926043,53.551392451584675,985285780780.8196,-3.8944595988811646,1.0317306078055122,55156459.11251583,75000000.00000194,0.0011942574348896293,79.98494131637,15691.012637518566,0.611228548346612,821805.4650945789,283323.01548519847,1595895.13100442,40121.30000056699,69328.7359104865,76453027.16486,22874452.95524,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2035,44.60056094687109,4.1466132999245e-06,988775175037.4219,-25.465233423947286,1.6680012661618067,2258514139.316883,74999999.75650835,0.4727502769830888,316.4934884064766,331965.4289204308,0.8154585608665507,656436.3186015566,203330.2570840597,2863967.010947982,40121.300164306296,1018522.3063565746,137951446.95643,32842594.84332,19440000.0,65889512.86918,1140750268.67638,0.0,0.0,89662877.3264,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2040,22.770602242468225,758.9441727332305,1059256610995.8008,-3.023271449051869,1.0334908948593966,748465316.0830243,125000000.01113002,0.07659609911627865,268.1750127918254,205108.16566675535,0.6477792566086606,935220.0443219491,340933.98288787575,2377975.676484811,31807.90004521689,1963258.4176530228,0.0,3497906.69395,39860000.0,123331652.29359,693266074.30981,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2040,71.79397045913981,136.96571893150846,1066311450036.3073,-28.395906316733484,1.9664278501067285,4307916049.170865,124999999.99798208,62061082.5980529,538.525671662753,576301.5488353168,0.7408823660630488,930882.7283103827,383542.86637357285,3678146.0277196052,31807.90011403385,6826171.606501002,115931495.31109,17278101.1609,39860000.0,123331652.29359,1994715883.25627,0.0,0.0,101775906.46556,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2045,23.618625343426665,787.2087826698728,938219601572.5234,,93.47027752897083,70215946836.2201,200000000.00040478,1.1931813838654077,382.33830340046455,205102.7985641702,0.6720278673349459,897721.5210560679,333917.0815784383,2412257.415693262,31807.900129845373,1967197.2660126984,1089613.93669,73801.32752,64200000.0,214563285.49707,887545741.13949,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2045,,,,,,,,,,,,,,,,,,,,,,,,,
1987baab,1987,b,a,a,b,100,50,min,0.05,2050,21.99105003368991,721.8057944825586,857275917931.0205,,83.73759884363558,59829283440.70921,275000000.0002275,17692975.471930407,402.43211980585266,205102.7985641702,0.6255592056330284,859673.3720487587,325039.0892181359,2493529.8781993706,31807.900090009818,1967773.178729492,136304.28881,0.0,79300000.0,304105444.0116,620340378.49042,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2050,,,,,,,,,,,,,,,,,,,,,,,,,
1987bcab,1987,b,c,a,b,100,50,min,0.05,2025,-0.0,8.559604930452338e-13,971288648276.1721,,58.361885360873195,-0.0,0.0,0.014608324107897884,7.157260058140951,0.0,,353867.8884637111,44063.02089002024,479843.77491794,99790.10000295,0.004589752545514524,98096328.02356,32842594.95105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2025,11.102216292861367,2.2680513031372587e-12,1007711972416.1901,-15.544606004199142,0.6250758182631082,227258795.4661723,-0.020322503498391598,4.810894868478871e-07,57.984626260971915,71935.53229688136,0.9996857182429169,409723.79969950905,50921.36772588159,702728.0251166224,99790.09999999234,2.6854677782166814e-07,98096328.00003,32842594.95095,0.0,0.0,247427946.09018,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,min,0.05,2030,-0.0,1.0487993184776159e-10,921590656605.0029,,79.21337282538725,-0.0,100000000.00044236,0.31841835371572375,107.15726062515057,0.0,,470888.202926819,75671.090467914,1010262.8844696343,78601.10007758967,5907.396009821233,98096328.45792,32842594.93648,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2030,13.999863332060203,4.549947748171e-08,961259943798.7013,-21.624650998677463,1.235604072570774,551486220.7353066,100000000.00117281,0.017143528576031082,174.71143051535267,92729.61470753502,0.9648258106684894,499334.39417523716,79800.11647976685,1370215.3452535383,78601.10000408758,6988.420168929111,98096328.03763,32842594.95003,60000.0,6757898.75581,328854136.83953,0.0,0.0,4486.33338,0.0
1987bcab,1987,b,c,a,b,100,50,min,0.05,2035,-0.0,7.426826571707182e-11,885649367466.3147,,149.19891486157013,-0.0,300000000.0005851,1.5585086211566057,307.1572603569729,0.0,,708286.7610414302,214676.57575698546,1260322.3607967724,40121.30009584396,64516.12689721316,137951446.56479,32842594.87298,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2035,24.981421165912508,2.0890900874240877e-07,917402754003.6245,-27.278087782647546,1.7923534517168773,1319054333.0198903,300000000.008949,0.06595905119931414,425.5090361625433,190390.92246753938,0.8079061651659879,581389.6710450379,144020.64246997953,2265531.464373148,40121.3000079476,870688.7454282644,137951446.22649,32842594.94363,19440000.0,65889512.86918,576137208.24556,0.0,0.0,370005.68037,0.0
1987bcab,1987,b,c,a,b,100,50,min,0.05,2040,2.9180099134072233,97.2572715537482,930319398648.7101,-4.558442253906239,1.0225415636555164,96151809.76027311,500000000.01025736,80466438.73542692,504.8880864252593,27464.222618966014,0.6188772007314605,846636.091646112,292773.451702023,1862403.7679875225,31807.90001022495,139488.44046091445,145826669.70412,22428285.63213,39860000.0,123331652.29359,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2040,45.64884720513698,1.5668786500835065e-07,937543161787.0688,-27.570678536507984,1.7218655539809462,2374757775.150928,500000000.0131761,136756455.5847326,726.4800086453504,347901.9994963176,0.7854649494292101,696806.7876774967,234368.21982463947,3187955.2299744594,31807.90000402666,2056786.3628513427,257516800.79411,32842594.94377,39860000.0,123331652.29359,1067664552.51394,0.0,0.0,260476.93824,0.0
1987bcab,1987,b,c,a,b,100,50,min,0.05,2045,3.236996948297324,9.282876296716666e-05,833994379071.1584,,63.83083080049472,6373608511.1158695,677732842.790657,112216209.61619385,682.6025414049741,27453.675953658814,0.6867945151617662,796990.9999456364,284720.74881161575,1860324.1851095469,31807.900822946045,245433.97745120357,377082086.37797,22345597.36625,64200000.0,214563285.49707,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2045,37.75435788795864,0.7664325893347083,872528639726.6512,-1420.0644828278791,86.34189348314634,98608093621.97275,522658496.47907275,118638833.50041907,668.9984762850244,348250.69580406614,0.6453028832488652,647247.5526948265,226446.44462334554,3186293.6103637186,31833.861141737958,5043909.744778795,384262181.50062,34781091.06543,64200000.0,214563285.49707,622890335.47198,717357.81405,807573.28644,1307165.61966,798411.51622
1987bcab,1987,b,c,a,b,100,50,min,0.05,2050,2.9629718732958374,98.75585615861412,767662470248.7488,,64.05887204069286,6103773344.501587,731404386.45178,126690856.52862424,736.2560651519451,27453.67595365881,0.6286545411260152,751428.6971371772,270771.4497686151,1847433.4325128864,31807.900128693338,342005.7643402098,376593774.51832,22262944.20075,79300000.0,304105444.0116,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,50,max,0.05,2050,47.11579044180801,9.047545412672374e-06,810994205389.8435,-32.00714706818974,1.9037684271675477,2735621148.568377,534399821.90750116,120218506.12441732,687.9830553162261,355607.21134337044,0.7634139025240531,620970.9054392559,246600.31881561124,3433123.59630403,31807.90014539578,6313147.974241652,490004986.7927,32842594.7595,79300000.0,304105444.0116,712802580.24665,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,min,0.05,2025,-0.0,5.112236925977312e-12,972999151791.2305,,58.68551390955668,-0.0,0.0,0.048203627897711085,7.157260165562799,0.0,,350904.48740683554,45851.49211325688,486776.3775887067,99790.10002689286,0.03727733617097876,98096328.14472,32842594.94848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2025,10.694655565018548,1.0478678050624257e-08,1009486621285.6326,-14.809293161633702,0.5375709353009495,188527867.72792652,-0.06715195593278622,0.002274293720781876,55.194161752292736,69287.32526322264,0.9997934128788017,404222.98872901895,56799.663051632764,609323.0503148008,99790.1000009402,0.0015163715668667897,98096328.00777,32842594.95431,0.0,0.0,233843946.88336,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,min,0.05,2030,-0.0,4.293134152326113e-11,933581492483.7383,,87.26991849102674,-0.0,25000000.000106912,0.34081256689403805,32.15726067084602,0.0,,496651.57871737867,108388.4503864916,1030476.5580403036,78601.10010245776,6950.75331487308,98096328.59913,32842594.92309,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2030,13.418956971015794,3.8183445654535616e-08,972778632590.1289,-19.660364168632334,1.0688987513500854,445965244.984264,24999999.99992336,0.00482308053283842,95.71248982916482,96465.50203062428,0.8855266597490351,509294.5485206349,123018.19492477414,1326811.282881637,78601.10000218831,47708.673359624816,98096328.01128,32842594.95036,60000.0,6757898.75581,309387267.88671,0.0,0.0,109746.27727,0.0
1987baab,1987,b,a,a,b,200,50,min,0.05,2035,1.61460485006125,53.81477905900239,994043465900.7253,-3.659257945944052,1.0132747494407488,54379882.34572172,75000000.0068539,1.1698509845925453,79.56578420664015,15455.83202224818,0.6235811979549665,796218.3232154208,307207.62365856074,1620663.6107240492,40121.30006740966,73912.41267740648,76150607.60422,20950958.94733,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2035,42.89321542386092,2.1226949836969374e-07,997086011722.7971,-24.874464169115488,1.6884155551159434,2230467357.860071,74999999.99870235,0.018111784699824704,309.3989739813955,322784.2377198139,0.8062449836091915,613717.9826071449,294275.38065414556,2701261.181182428,40121.30000717423,1865761.1449834309,137951446.22396,32842594.94486,19440000.0,65889512.86918,1106214126.74123,0.0,0.0,67293189.48256,0.0
1987baab,1987,b,a,a,b,200,50,min,0.05,2040,22.848431868527054,761.5382341869026,1070769686449.3552,-3.0610912882846995,1.043239880614547,758859660.7487981,124999999.99376822,0.145518566084319,264.66322821504866,205233.12412767526,0.6495774832100563,897046.4806890666,382113.07134795573,2441291.413030676,31807.900112495758,2291745.1435043905,4473.4674,5619442.9575,39860000.0,123331652.29359,673920018.91662,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2040,68.07189593742333,161.27237374576455,1077037589958.5497,-30.62823411467406,2.32261134457255,4873688422.2095375,124999999.99999759,52661933.06998757,517.1583387845669,582111.8871708204,0.6946297305126397,930911.3297640737,430094.9598232319,3573971.90899376,31807.900000098518,10505867.594541185,96455782.46472,8916128.1388,39860000.0,123331652.29359,1899570502.46592,0.0,0.0,100702226.23476,0.0
1987baab,1987,b,a,a,b,200,50,min,0.05,2045,23.53230537454012,784.3317381207195,949966577491.562,,93.44909117013303,69967415719.02538,200000000.0000143,0.0839508004655872,381.2005327552379,205233.119545696,0.6691042709499402,857285.4689108134,374167.5439329117,2481565.2837849227,31807.90001107955,2293813.161168011,307778.79327,2042.31441,64200000.0,214563285.49707,882083193.61645,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2045,63.92066149525757,4.086780426475618,997777311433.2322,-491.2402205091895,29.15422180518218,59252595966.3833,164118403.89803708,67192308.34398039,518.3141952710823,583443.869620124,0.6501846156876007,881642.2452978045,422463.8292289203,3572898.137959538,31977.72493031652,10794551.41912896,408572432.87908,41073763.2521,64200000.0,214563285.49707,1460895427.24924,3250174.44126,3901357.58426,8559837.09407,3718491.06094
1987baab,1987,b,a,a,b,200,50,min,0.05,2050,21.856543864744946,728.4786069982273,868444843102.829,,85.02290770734797,60983516939.39915,275000000.000003,17671257.08289498,402.20633427469215,205233.119545696,0.621330550639815,816178.1210558433,370222.5434384806,2557551.882106166,31807.90000335881,2293813.159901977,189268.94963,0.0,79300000.0,304105444.0116,619241254.33021,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,50,max,0.05,2050,55.89285904858032,10.247848735398529,921991125938.6938,-190411.2673824652,11960.995199667504,20541476597806.117,268333210.24944782,56888088.61264085,490.54925708925896,514871.36236049526,0.6394709610595566,831308.207284961,408262.94706727297,3545636.623337989,31976.232275109727,10771507.565316813,491109468.35501,34948847.87982,79300000.0,304105444.0116,985256004.89022,1161253.27298,1377414.4178,2635697.97451,1491946.62782
1987bcab,1987,b,c,a,b,200,50,min,0.05,2025,-0.0,5.6693278932369816e-18,972919058850.5244,,58.67662546834569,-0.0,0.0,4.6565308058082306e-08,7.157260034083943,0.0,,350661.33602292853,45891.68578242089,486567.0943869729,99790.09999999222,1.466381082848748e-08,98096328.00003,32842594.95095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2025,10.946696919918653,2.8169312182573246e-08,1009403523834.4576,-15.354176685034961,0.6240423528758664,224182516.81616414,5.44867200131921,0.06711213943423483,56.91982472696301,70934.20676920912,0.9995963065035286,414427.766621207,62332.44601246848,638539.4487199127,99790.10001772463,0.027784770322626086,98096328.12549,32842595.00232,0.0,0.0,242244484.65726,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,min,0.05,2030,-0.0,1.7482119986844936e-11,924886579355.3047,,80.15748382508832,-0.0,100000000.00023109,0.31556320669593585,107.15726055186282,0.0,,469420.0538466157,86456.02314512778,1007708.2927444184,78601.10005788789,6932.9111124291685,98096328.36788,32842594.9361,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2030,13.459751468593993,7.539304671962495e-08,964174522725.1362,-20.858715907539132,1.2150845527921312,526907628.859298,99999999.99579406,0.012306393767339035,171.0138719152994,88392.43511235772,0.9747995848523889,506436.4392388214,105679.02522168303,1298179.641799257,78601.10000359298,8457.272152218942,98096328.02335,32842594.95013,60000.0,6757898.75581,310854397.81857,0.0,0.0,2296.99569,0.0
1987bcab,1987,b,c,a,b,200,50,min,0.05,2035,-0.0,1.1761277837965725e-13,890844195938.6146,,149.49019953642852,-0.0,300000000.0000003,0.001592932518577241,307.1572600344159,0.0,,677033.164925345,224646.95393025217,1276932.0732069241,40121.30000014828,71199.55641642632,137951446.20408,32842594.95086,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2035,23.296653451159802,5.930250819321649e-08,922198889931.4696,-25.673302782309804,1.710507754886392,1189389086.8850458,299999999.99888843,0.05551796668067601,413.56651416839384,179745.68843095962,0.7984825808825173,590044.2108915591,197736.6302797714,2087023.3381320187,40121.30000730426,1301912.53409621,137951446.23246,32842594.94672,19440000.0,65889512.86918,518000934.26584,0.0,0.0,2352971.53438,0.0
1987bcab,1987,b,c,a,b,200,50,min,0.05,2040,2.830897550258034,94.35381528148618,940172330473.6823,-4.220152477057574,0.9997945659948052,91124650.86131418,500000000.01137424,78174191.7705713,504.6981731127449,26798.422948934287,0.6153184634836245,832634.9144659621,305130.49469973077,1946954.331794194,31807.900000762937,181816.46300674026,149160883.30296,21558437.63212,39860000.0,123331652.29359,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2040,44.36172962929332,4.690548331272356e-07,946525802802.5681,-27.468726898004537,1.7654505711205541,2407259941.9096737,500000000.0079135,131012685.74283832,717.0783524392986,347576.6043953426,0.7620869498250635,635420.7937141843,316692.0236948498,3102657.387555841,31807.900012294096,3028853.365328187,257516800.82368,32842594.92673,39860000.0,123331652.29359,1021897229.38051,0.0,0.0,3128171.47712,0.0
1987bcab,1987,b,c,a,b,200,50,min,0.05,2045,3.144829085526931,9.64842574876927e-06,843014959751.8398,,63.91363863499214,6209126739.352718,674657005.1015725,108493322.41143075,679.3356356817816,26791.312292048435,0.6837354414754642,782989.8224809587,297077.7946244756,1944874.749055547,31807.900045633774,296122.66547390155,377082146.92476,21468879.63626,64200000.0,214563285.49707,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2045,37.892250842766884,1.2973187951323637,877957791741.6487,-1401.656662775696,82.50837234082825,95912945984.91563,507601646.8109733,116711870.31963798,667.918190873252,348300.66867556825,0.6469542536371335,585946.5732057856,308693.3795225748,3100669.0860955054,31873.69130739452,5148985.129132852,396197550.66558,37914552.9181,64200000.0,214563285.49707,604621191.3244,1816234.85366,1969828.1568,4123544.48285,2231140.57731
1987bcab,1987,b,c,a,b,200,50,min,0.05,2050,2.8697067842118305,95.64732706385779,776267237498.1522,,64.06667692530924,5939095817.144409,730244227.2096429,118046399.18385187,734.9033408779659,26791.312292048435,0.623919514112306,733997.7234682663,283128.4956243918,1921631.4072378336,31807.90004082279,361261.0176346407,380163601.62088,21379322.79713,79300000.0,304105444.0116,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,50,max,0.05,2050,42.82774223583818,85.21865653983386,816404525261.1785,-32.675569728482074,1.97918351613177,2617111661.6757474,539301511.3438371,114502449.17510608,680.3327808300223,335157.9279710274,0.73854603419013,563685.2838800774,302830.71019613533,3269922.863019959,31807.900008391913,5676386.514727156,392141906.98274,32842594.93907,79300000.0,304105444.0116,651699540.02036,17280.24058,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2025,-0.0,8.42274605753896e-12,975007494417.3022,,59.29533283533457,-0.0,0.0,0.08665533656745053,7.1572602931116345,0.0,,356585.9300469761,57030.61048897363,418146.3106152443,99790.10002598721,0.04908597603586895,98096328.29158,32842594.94595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2025,10.455202972458721,9.948731927528154e-08,1011570278934.9729,-14.748701176529856,0.5649294083981903,194492840.31118965,65.58882146963015,0.08703231893317441,53.55469039192302,67745.42712337556,0.9996540928857284,404911.1541832685,88457.8289633836,442175.8175151613,99790.10003871522,0.05930782038091476,98096328.47772,32842595.02348,0.0,0.0,225862988.38231,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2030,-0.0,4.252830006358562e-11,942387056523.9631,,88.54715655355147,-0.0,25000000.000001572,0.2526172349121739,32.15726058106059,0.0,,528580.0461067302,188823.53950208396,740223.0503232488,78601.10008028733,7186.972345691938,98096328.68428,32842594.9254,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2030,12.576744145301188,1.7444616177862201e-07,981241750127.6038,-17.68136077938003,1.0140745890862501,386637350.97686666,24999999.99938995,0.016961232312081395,89.38659081372134,93464.11087438106,0.8560122872040904,533892.1473909165,268874.53895008494,780489.560375744,78601.10000827385,426304.6278608125,98096328.04725,32842594.94806,60000.0,6757898.75581,278592750.68808,0.0,0.0,2833309.99977,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2035,1.1621890223737614,38.73575972788034,1011546577596.7666,-3.191353275476601,0.9677140176722596,37130762.43086299,74999999.99820098,0.3432311286669276,75.84257291565761,10642.295713648,0.6518694000616795,851737.6223234741,369528.681311614,1474880.5060685412,40121.30007900299,85067.76376735696,93467304.96503,3866306.70147,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2035,36.206160310450954,51.39323918710859,1013479049680.0822,-23.096729215774765,1.8180856109836787,2042416964.277811,74999999.99605827,0.04279241661971643,281.63311018354705,301110.93872920505,0.7290055954963476,829718.9000456438,536283.2653250811,1345376.1846120646,40121.30001827019,4526397.73459723,78931451.07284,32842594.93182,19440000.0,65889512.86918,971049722.92092,0.0,0.0,38598041.98611,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2040,22.44499608160095,748.0917193155408,1101141308888.3972,-2.6713052220262066,1.0047961657747555,730604896.6378282,125000000.01913914,0.24733251290572605,249.5194739157238,196435.39471751932,0.6662541883276889,980398.4618491638,484321.45671663934,2252440.8701800667,31807.900226016805,3958647.7417959413,2245443.12474,3632625.29175,39860000.0,123331652.29359,602307872.31848,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2040,57.067975154637146,210.25544590087128,1103761878984.9124,-28.974758695945543,2.3822898848567835,4245357136.5774255,125000000.00015242,23529181.41774215,450.946097846674,501899.29282888724,0.6766801847032485,1085463.503100682,576566.2313503602,2411441.7410211293,31807.90001120628,10140294.97825124,39215466.04487,9895376.58701,39860000.0,123331652.29359,1576210035.79356,0.0,0.0,113563081.60189,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2045,22.750188483875405,758.2637821674639,980325109317.2241,,95.63057190269542,70130815776.63708,200000000.0001036,0.6235750088645425,372.96396429866115,196435.38871600316,0.675368690477362,933507.6484863755,479385.88384141977,2250361.285867691,31807.900133123156,3958647.7399583287,3683004.08097,0.0,64200000.0,214563285.49707,841989690.27532,0.0,0.0,38107017.73909,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2045,52.00695268843379,274.95056118361805,1022837949651.8677,-47.56481831244509,3.211791853111926,5125403240.316703,199999999.99872756,44389176.958293475,479.3885383389687,501899.2925778481,0.6162946998630796,1040958.2811292931,570885.0236953056,2409834.877566491,31807.900009635054,11552985.634694016,84611092.0857,9770370.62083,64200000.0,214563285.49707,1349700150.87113,0.0,0.0,10546834.3944,0.0
1987baab,1987,b,a,a,b,500,50,min,0.05,2050,21.247418336984726,708.1764531708662,896041553817.0834,,89.71301301487577,62617792465.01724,275000000.00047165,11827294.202618603,393.78055909379117,196435.38871600316,0.6306697153956434,891134.1691053289,479356.7736571455,2244730.0937456377,31807.900157031796,3958647.7563671907,171465.32794,0.0,79300000.0,304105444.0116,578224525.21035,0.0,0.0,115592.08964,0.0
1987baab,1987,b,a,a,b,500,50,max,0.05,2050,55.37369418082004,298.3547365609603,945158190265.995,-30.929176908419695,1.8926509742799644,3317247623.715056,274999999.7974121,53244591.38136871,539.5020103937441,468095.1263571771,0.6924541579559496,997310.6176622943,568767.2364933072,2396209.936850448,31807.90001300917,11579539.01624903,174938690.06242,5526864.60802,79300000.0,304105444.0116,1281734228.70716,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,min,0.05,2025,-0.0,1.387810917106087e-11,974925008257.488,,59.28457740630437,-0.0,0.0,0.3297126523713805,7.157260628045491,0.0,,356567.48752092686,56863.00833703586,418106.85687288205,99790.10005118776,0.08452382930078406,98096328.55667,32842594.94321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,max,0.05,2025,10.65397275217122,3.4641963016273897e-08,1011484698249.28,-15.202483797598886,0.6363967038544217,223489161.8090028,64.67227157493744,0.04080081507953889,54.91561685860707,69031.3680088489,0.9996831386527895,412173.7931174729,93798.22970780138,460821.1739138784,99790.10001023102,0.01259955551812821,98096328.10938,32842594.96361,0.0,0.0,232487988.2713,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,min,0.05,2030,-0.0,7.784097300973041e-11,933030874820.562,,82.3962135006903,-0.0,100000000.00018436,0.5703442506504575,107.15726113040624,0.0,,516524.1019610623,154248.69548627138,720762.1338124478,78601.10015578468,6780.180523894799,98096328.99786,32842594.92257,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,max,0.05,2030,12.307077162019931,2.1895472505092711e-07,971813168055.0503,-18.85082310643819,1.1658627574883775,445198270.88773173,100000000.00041257,0.03228517725493735,163.12210955889842,82207.12915405666,0.9604144185859554,532745.7196379643,232446.4302207274,771620.471458795,78601.10001098514,14836.278274133934,98096328.07081,32842594.94834,60000.0,6757898.75581,272437247.74737,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,min,0.05,2035,-0.0,2.0257818686650184e-10,901354341554.7417,,151.7058945203645,-0.0,300000000.0001688,0.8900678383242826,307.1572603762426,0.0,,687306.9374362,291023.40195965255,1186580.2511675183,40121.3001935866,186055.84617285585,137951446.82406,32842594.86355,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,max,0.05,2035,20.400214778507053,1.3652310493085836e-06,934573475514.2,-21.139868879730464,1.4507462250003604,892024469.6608533,300000000.0011796,0.3173110316341813,392.2870081019984,173035.96001577814,0.7244317979752459,691179.0197010951,405105.9900180999,1163556.354425896,40121.30007564204,2567387.6782514527,137951446.30208,32842594.91299,19440000.0,65889512.86918,414412161.4704,0.0,0.0,9403445.73342,0.0
1987bcab,1987,b,c,a,b,500,50,min,0.05,2040,2.153615165368101,71.7799933569291,961940954750.7192,-3.718712574904116,0.9679262991389282,69058555.41369805,499999999.99312294,67729296.01459369,500.1125805777971,20470.670618280437,0.6128032527256421,880235.3136815315,374317.15874047857,1868633.3453511456,31807.900041241563,236292.12166350972,175084660.07351,516498.6252,39860000.0,123331652.29359,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,500,50,max,0.05,2040,37.38080311181851,117.0852341650109,965479688501.5599,-24.76014940857476,1.745950125148967,2028948528.328106,499999999.86466134,119395885.16814038,696.4295621390345,313691.12677712913,0.7125483739150428,883467.9806661976,496184.76313041674,1844639.0521812148,31807.90040584635,7048641.75346531,123056141.24376,32842593.62138,39860000.0,123331652.29359,921378783.47913,0.0,0.0,5433008.99416,0.0
