scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987bcab,1987,b,c,a,b,100,60,min,0.05,2045,3.145152560840993,8.76663317987253e-06,831122997999.8591,,63.9264870214583,6285190541.902851,681933631.6202631,113712922.83256744,686.5085106497928,26885.55366520045,0.6814088399393802,830382.1014150737,268149.3487641736,1792292.338802231,31807.900135069965,243248.5500265022,377082152.26274,20992789.34706,64210000.0,214563285.49707,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,60,max,0.05,2045,,,,,,,,,,,,,,,,,,,,,,,,,
1987bcab,1987,b,c,a,b,100,60,min,0.05,2050,2.817095191497189,93.8937822892839,768102439055.8889,,64.17168685801086,5817863966.675031,730033711.2659515,125702580.60057184,734.588276516739,26885.55366520045,0.6103340074300303,785905.54152164,254200.04989300907,1780283.9922720096,31807.900215741985,301375.08247970475,382177379.29526,20899573.21094,79300000.0,304105444.0116,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,100,60,max,0.05,2050,46.782499716655835,5.807394960506196e-06,811639692668.2129,-31.26843552643707,1.803356085491825,2609765496.944111,538467040.1379592,123471997.33057046,693.0195292605358,345359.2056381993,0.7802375443363815,622760.3732878896,256505.9373505188,3378741.9944040924,31807.90009564285,4713850.3360376675,490004987.95159,32831214.37196,79300000.0,304105444.0116,717532996.1385,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,min,0.05,2025,-0.0,1.5706088266712463e-18,978549815467.7593,,58.054625305731996,-0.0,0.0,1.0706109986606492e-08,7.154779936864634,0.0,,366136.918436124,45361.399919127914,493678.8910484252,99790.0999999857,6.224318344871009e-09,98096328.00003,32831214.50257,0.0,0.0,0.0,0.0,0.0,418721.53728,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2025,11.075444975896563,3.2339266013438344e-08,1015245433547.3601,-15.045588036290525,0.5829175067338475,205468736.24064252,-0.9659477976869666,0.027254143826038187,26.59208788630456,71810.98456086025,0.9990047840143287,438136.1715870033,49304.2643806776,624249.3571135483,99790.10001573864,0.027992520589481026,98096328.19781,32831214.52781,0.0,0.0,94620939.85306,0.0,0.0,151916098.4361,0.0
1987baab,1987,b,a,a,b,200,60,min,0.05,2030,-0.0,1.5353743927061114e-11,934114868349.43,,86.55210369282706,-0.0,25000000.0000668,0.2409049025882453,32.15478036735376,0.0,,524035.99975401215,92072.00904484789,1029968.9424734262,76584.00006777889,6886.443480516896,98096328.43568,32831214.48518,80000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2030,13.443697143883,1.5254747584296025e-07,973324906710.6504,-19.39212867660777,0.9679323151012342,403031859.1834629,21277029.349118058,0.01926997229029661,74.37577706252827,100115.17599273763,0.8543438430590634,548368.7613990235,94032.34847438995,1375071.9436080826,76584.00000888173,255943.03274676416,98096328.05839,32831214.50031,80000.0,6757898.75581,223655530.88707,0.0,0.0,86657453.53733,0.0
1987baab,1987,b,a,a,b,200,60,min,0.05,2035,1.630998230204753,54.36117079790716,995674640460.7515,-3.721554888623081,1.0167188917911965,54827849.34206209,75000000.0026737,0.37208488923323246,79.46577309242332,14685.741576936982,0.6629438657625915,814390.8133150332,307272.70001063304,1556964.834825123,40121.30001816166,100205.06406395498,75523091.08409,20492114.81922,19450000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2035,42.73702379620551,5.240612244167243e-07,998827957563.2332,-23.945388060553057,1.5691016402169897,2098809120.821403,74999999.9963204,0.06391555310968153,298.7632192202625,322290.78485379036,0.8047986419931676,675566.6833637983,285926.20038029394,2575821.247856988,40121.300028671125,1320066.3136776763,137951446.31642,32831214.4915,19450000.0,65889512.86918,1054451277.09316,0.0,0.0,113851552.96372,0.0
