scenario,emission_reduction,C,I,E,T,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,smr,smr_cc,ammonia_cracking,bio_hydrogen,fossil_gas,fossil_oil,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:Haber-Bosch,demand:methanolisation,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry
baselineaaab,baseline,a,a,a,b,min,0.02,2025,-0.0,4.516074432147793e-11,975004035113.6239,,59.273588830320634,-0.0,0.0,0.2541566748057217,7.1572607980138425,0.0,,2.8471548100796418,0.8314809536632682,-0.0,3.411462859321838e-08,3552848685.8381805,5395054565.719833,356684.87624790706,56800.90644509751,419788.3915285409,99790.1001097891,0.14018399670705056,98096328.85876,32842594.93976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,max,0.02,2025,3.7947692826764383,1.4404386677078286e-06,989629090699.6335,-12.514007326858396,0.5113786694632888,63776308.41353419,-23.806091166784427,0.3244383652770812,7.952396590093855,24583.159252735604,0.9998732442618842,1.1399656290446586e-07,8.179137707626182e-08,-0.0,3.166200260261579e-08,3546523229.7682705,5392881366.12479,377110.49153811514,61261.00182195334,451263.8325529366,99790.1002016314,0.2250221027636823,98096329.6196,32842595.04596,0.0,0.0,3870725.9463,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,min,0.05,2025,-0.0,5.825028104268795e-11,975004036605.2933,,59.278195062792555,-0.0,0.0,0.3524941866018072,7.157261104592609,0.0,,2.8471555091510132,0.8314803407425085,-0.0,4.75812021443955e-08,3552847024.2886896,5395054656.797601,356684.8921782846,56800.86677821604,419788.4198147871,99790.10013523357,0.18062721837943166,98096329.16153,32842594.93519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,max,0.05,2025,8.511056139400395,9.592950225363648e-08,1011566681379.9382,-12.082534576222063,0.4657557087917519,130546425.79455636,6.344629346885995,0.03477889011493359,40.24361254639834,55140.497474374715,0.9997928820347024,1.0672613235537638e-08,8.714637970465507e-09,-0.0,3.325603388626433e-09,3760152984.1792593,5261755932.883168,398720.1214978292,78767.99976734855,446811.6300372988,99790.10001712348,0.024626000133300713,98096328.17097,32842594.96598,0.0,0.0,161064576.62834,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,min,0.1,2025,-0.0,4.549819000598116e-12,975004031022.2598,,59.27160100799733,-0.0,0.0,0.05355979382290833,7.157260182113337,0.0,,2.847153811661058,0.8314817833918018,-0.0,7.376949329516109e-09,3552848706.8354673,5395054538.277087,356684.8948853471,56800.93538127249,419788.362085119,99790.10002079392,0.02953149507785105,98096328.177,32842594.94857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,max,0.1,2025,16.208420223051007,9.42446799027551e-09,1048129332515.4287,-11.826409638647236,0.4475430380285398,238909877.97581655,7.27384562345901,0.004304189428598443,92.94550376332164,105013.58052216732,0.9997524721899642,1.5057808528930669e-09,1.1532085949139455e-09,-0.0,4.340419341826729e-10,4099996221.4483595,5048732152.354846,432411.574929409,110097.78872156581,434297.8250188885,99790.10000246635,0.0029376885501156695,98096328.00661,32842594.96166,0.0,0.0,417617722.84611,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,min,0.02,2030,-0.0,5.2157831857245176e-11,942366101978.0635,,88.47939063454625,-0.0,25000000.000002462,0.38045755513690027,32.15726080962029,0.0,,2.846452444633234,1.286965734935892,-0.0,8.384437397632764e-08,2317246336.2546787,4983082204.779082,530754.9252270953,187493.42757673355,739843.5461989006,78601.1001279346,7155.49602018927,98096328.96789,32842594.91027,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,max,0.02,2030,4.712938790389608,3.957382762189391e-07,957944126346.4304,-15.833651015240058,1.0124257679745294,148117536.3734371,24999999.996543564,0.03870125187451117,36.12072068123031,31577.44565153299,0.9539989019362133,5.575583347351926e-09,7.774537205136853e-09,-0.0,3.9094358233972466e-09,2338592858.4352064,4966379025.681964,530374.3855379885,214969.59747126125,777370.9564084972,78601.10001831914,13378.914310800554,98096328.11961,32842594.94496,0.0,6757898.75581,19294151.78281,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,min,0.05,2030,-0.0,4.326623935159019e-11,942366064854.4574,,88.47937553112615,-0.0,24999999.999998957,0.3756668654411752,32.15726077881012,0.0,,2.846453243445215,1.2869649203944475,-0.0,8.350161690705583e-08,2317246536.9304023,4983082038.345474,530755.1338493006,187493.48548266053,739843.2847479628,78601.10010256043,7156.040173172375,98096328.87165,32842594.91157,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
baselineaaab,baseline,a,a,a,b,max,0.05,2030,9.890039112433184,1.6870213626003108e-06,981034873125.3777,-15.241260389671174,0.9395365502680683,289254406.0856054,24999999.99511664,0.13825347574543545,71.56875782683754,65138.15371758982,0.9746463314606654,2.7561362715574953e-08,3.705528556158515e-08,-0.0,1.6546036382021014e-08,2527533456.8951564,4820943436.986774,544180.5400314993,243008.6206056585,794901.2853144497,78601.10006971491,10853.853352930506,98096328.36818,32842594.92053,0.0,6757898.75581,191855424.5458,0.0,0.0,0.0,0.0
